"名称","导演","主演","时间","地区","类型","评分","评分人数","简评"
"肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港) / 刺激1995(台)","弗兰克·德拉邦特 Frank Darabont"," 蒂姆·罗宾斯 Tim Robbins /...","1994"," 美国 "," 犯罪 剧情",9.7,2732804,"希望让人自由。"
"霸王别姬 / 再见，我的妾 / Farewell My Concubine","陈凯歌 Kaige Chen"," 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...","1993"," 中国大陆 中国香港 "," 剧情 爱情 同性",9.6,2024898,"风华绝代。"
"阿甘正传 / Forrest Gump / 福雷斯特·冈普","罗伯特·泽米吉斯 Robert Zemeckis"," 汤姆·汉克斯 Tom Hanks / ...","1994"," 美国 "," 剧情 爱情",9.5,2050200,"一部美国近现代史。"
"泰坦尼克号 / Titanic / 铁达尼号(港 / 台)","詹姆斯·卡梅隆 James Cameron"," 莱昂纳多·迪卡普里奥 Leonardo...","1997"," 美国 墨西哥 澳大利亚 加拿大 "," 剧情 爱情 灾难",9.4,2009237,"失去的才是永恒的。"
"这个杀手不太冷 / Léon / 终极追杀令(台) / 杀手莱昂","吕克·贝松 Luc Besson"," 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...","1994"," 法国 美国 "," 剧情 动作 犯罪",9.4,2190987,"怪蜀黍和小萝莉不得不说的故事。"
"美丽人生 / La vita è bella / 一个快乐的传说(港) / Life Is Beautiful","罗伯托·贝尼尼 Roberto Benigni"," 罗伯托·贝尼尼 Roberto Beni...","1997"," 意大利 "," 剧情 喜剧 爱情 战争",9.6,1258430,"最美的谎言。"
"千与千寻 / 千と千尋の神隠し / 神隐少女(台) / 千与千寻的神隐","宫崎骏 Hayao Miyazaki"," 柊瑠美 Rumi Hîragi / 入野自由 Miy...","2001"," 日本 "," 剧情 动画 奇幻",9.4,2125267,"最好的宫崎骏，最好的久石让。"
"辛德勒的名单 / Schindler's List / 舒特拉的名单(港) / 辛德勒名单","史蒂文·斯皮尔伯格 Steven Spielberg"," 连姆·尼森 Liam Neeson...","1993"," 美国 "," 剧情 历史 战争",9.6,1050237,"拯救一个人，就是拯救整个世界。"
"盗梦空间 / Inception / 潜行凶间(港) / 全面启动(台)","克里斯托弗·诺兰 Christopher Nolan"," 莱昂纳多·迪卡普里奥 Le...","2010"," 美国 英国 "," 剧情 科幻 悬疑 冒险",9.4,1960527,"诺兰给了我们一场无法盗取的梦。"
"星际穿越 / Interstellar / 星际启示录(港) / 星际效应(台)","克里斯托弗·诺兰 Christopher Nolan"," 马修·麦康纳 Matthew Mc...","2014"," 美国 英国 加拿大 "," 剧情 科幻 冒险",9.4,1685665,"爱是一种力量，让我们超越时空感知它的存在。"
"忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港) / 忠犬小八(台)","莱塞·霍尔斯道姆 Lasse Hallström"," 理查·基尔 Richard Ger...","2009"," 美国 英国 "," 剧情",9.4,1336040,"永远都不能忘记你所爱的人。"
"楚门的世界 / The Truman Show / 真人Show(港) / 真人戏","彼得·威尔 Peter Weir"," 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...","1998"," 美国 "," 剧情 科幻",9.4,1587417,"如果再也不能见到你，祝你早安，午安，晚安。"
"海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港) / 一九零零的传奇","朱塞佩·托纳多雷 Giuseppe Tornatore"," 蒂姆·罗斯 Tim Roth / ...","1998"," 意大利 "," 剧情 音乐",9.3,1597261,"每个人都要走一条自己坚定了的路，就算是粉身碎骨。"
"三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台) / 作死不离3兄弟(港)","拉库马·希拉尼 Rajkumar Hirani"," 阿米尔·汗 Aamir Khan / 卡...","2009"," 印度 "," 剧情 喜剧 爱情 歌舞",9.2,1773885,"英俊版憨豆，高情商版谢耳朵。"
"机器人总动员 / WALL·E / 太空奇兵·威E(港) / 瓦力(台)","安德鲁·斯坦顿 Andrew Stanton"," 本·贝尔特 Ben Burtt / 艾丽...","2008"," 美国 "," 科幻 动画 冒险",9.3,1253903,"小瓦力，大人生。"
"放牛班的春天 / Les choristes / 歌声伴我心(港) / 唱诗班男孩","克里斯托夫·巴拉蒂 Christophe Barratier"," 让-巴蒂斯特·莫尼...","2004"," 法国 瑞士 德国 "," 剧情 喜剧 音乐",9.3,1236611,"天籁一般的童声，是最接近上帝的存在。"
"无间道 / 無間道 / Infernal Affairs / Mou gaan dou","刘伟强 / 麦兆辉"," 刘德华 / 梁朝伟 / 黄秋生","2002"," 中国香港 "," 剧情 犯罪 惊悚",9.3,1277312,"香港电影史上永不过时的杰作。"
"疯狂动物城 / Zootopia / 优兽大都会(港) / 动物方城市(台)","拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore"," 金妮弗·...","2016"," 美国 "," 喜剧 动画 冒险",9.2,1809947,"迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。"
"大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘 / 齐天大圣西游记","刘镇伟 Jeffrey Lau"," 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","1995"," 中国香港 中国大陆 "," 喜剧 爱情 奇幻 古装",9.2,1457324,"一生所爱。"
"控方证人 / Witness for the Prosecution / 雄才伟略 / 情妇","比利·怀尔德 Billy Wilder"," 泰隆·鲍华 Tyrone Power / 玛琳·...","1957"," 美国 "," 剧情 犯罪 悬疑",9.6,502807,"比利·怀德满分作品。"
"熔炉 / 도가니 / 无声呐喊(港) / 漩涡","黄东赫 Dong-hyuk Hwang"," 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...","2011"," 韩国 "," 剧情",9.4,887681,"我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
"教父 / The Godfather / Mario Puzo's The Godfather","弗朗西斯·福特·科波拉 Francis Ford Coppola"," 马龙·白兰度 M...","1972"," 美国 "," 剧情 犯罪",9.3,910459,"千万不要记恨你的对手，这样会让你失去理智。"
"当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港) / 追求快乐","加布里尔·穆奇诺 Gabriele Muccino"," 威尔·史密斯 Will Smith ...","2006"," 美国 "," 剧情 传记 家庭",9.2,1446622,"平民励志片。"
"触不可及 / Intouchables / 闪亮人生(港) / 逆转人生(台)","奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano",NA,"2011"," 法国 "," 剧情 喜剧",9.3,1036539,"满满温情的高雅喜剧。"
