"标题","地点","户型格局","面积","更多信息","关注人数","发布日期","价格(元每平方米)","总价(万元)"
"北大学城水映唐庄上叠别墅带露台满五年","水映唐庄 - 北大学城","4室2厅 "," 145.79平米"," | 南 北 | 简装 | 中楼层(共4层) | 塔楼","122人关注 "," 一年前发布",11798,172
"北龙湖西岸，单价只要八千！附带南北双露台！","琥珀名城 - 汽配大世界","4室3厅 "," 190.75平米"," | 南 | 简装 | 高楼层(共6层) | 板塔结合","66人关注 "," 一年前发布",8074,154
"澜庭2号院精装南北通透双气2房看房业主诚心卖有钥匙","正商华钻澜庭2号院 - 蓝钻商圈","2室1厅 "," 88.41平米"," | 南 北 | 精装 | 中楼层(共32层) | 板塔结合","0人关注 "," 7天以前发布",12782,113
"诚心出售，楼层好，户型方正，满五不唯一","天伦水晶城 - 陈寨","3室2厅 "," 118.87平米"," | 南 | 简装 | 高楼层(共30层) | 板塔结合","1人关注 "," 7天以前发布",11105,132
"南北通透三房，户型好，采光好，离地铁口近","聚龙城 - 黄河南路","3室1厅 "," 131平米"," | 南 北 | 精装 | 低楼层(共22层) | 板楼","0人关注 "," 17天以前发布",18245,239
"简单装修，价格实惠，采光好东边户，南北通风效果好房","领城公园1857 - 南龙湖商圈","3室2厅 "," 117.41平米"," | 南 北 | 简装 | 中楼层(共32层) | 塔楼","0人关注 "," 5天以前发布",7070,83
"东站改善四居室，客厅只观小区景观，好楼层，舒适性好","中豪汇景湾 - 郑州东站","4室2厅 "," 176.43平米"," | 南 北 | 其他 | 中楼层(共26层) | 板塔结合","0人关注 "," 28天以前发布",25506,450
"亚星星苑 4室1厅 南 北","亚星星苑 - 兴华南街","4室1厅 "," 120.94平米"," | 南 北 | 简装 | 中楼层(共34层) | 板塔结合","0人关注 "," 16天以前发布",11990,145
"枫杨外国语旁 大三房 新房没住过人 3房2卫","恒大翡翠华庭 - 高新外国语","3室1厅 "," 128.98平米"," | 南 | 精装 | 中楼层(共26层) | 板楼","0人关注 "," 25天以前发布",14421,186
"正弘高新数码港熙园，精装修，满五年，南北通透好楼层","正弘数码港熙园 - 高新梧桐","3室2厅 "," 119.95平米"," | 南 北 | 精装 | 高楼层(共34层) | 板塔结合","0人关注 "," 22天以前发布",15424,185
"房子满五年 视野开阔 采光很好 中间楼层 不临街不临路","建业城市花园 - 燕庄","4室2厅 "," 176.22平米"," | 南 | 简装 | 中楼层(共6层) | 板楼","2人关注 "," 7个月以前发布",11435,201.5
"199大平层，优质房源！毛坯房随自己心意装修","锦艺国际华都美域 - 热电厂","4室2厅 "," 198.79平米"," | 南 北 | 毛坯 | 高楼层(共33层) | 板塔结合","47人关注 "," 一年前发布",22738,452
"采光佳，总价低，五居室双卫，无贷款，税费低","立体世界 - 黄河南路","5室2厅 "," 112.63平米"," | 西北 | 简装 | 中楼层(共17层) | 板楼","37人关注 "," 一年前发布",22020,248
"建业三期复式带露台 露台100平 洋房顶楼复式带露台","建业城市花园 - 燕庄","7室2厅 "," 286.58平米"," | 南 北 | 精装 | 高楼层(共6层) | 板楼","111人关注 "," 一年前发布",10469,300
"鑫苑名家 电梯挑空大复式 16年新装修 负一层停车场","鑫苑名家 - 北站","5室3厅 "," 307.51平米"," | 南 北 | 精装 | 高楼层(共22层) | 板塔结合","108人关注 "," 一年前发布",13626,419
"郑东新区婚房急售首付18万月供1800拎包入住","东岸曦城 - 白沙","3室1厅 "," 87.36平米"," | 西南 | 精装 | 高楼层(共18层) | 板塔结合","2人关注 "," 27天以前发布",6869,60
"建业品质精装三房，户型方正，价格可谈，业主急售。","建业春天花园二期 - 象湖","3室2厅 "," 122.15平米"," | 南 | 精装 | 低楼层(共26层) | 板楼","0人关注 "," 18天以前发布",13672,167
"地铁口，顶楼复式，业住盖一间房","龙泊圣地澜岸 - 南龙湖商圈","2室2厅 "," 51.88平米"," | 南 北 | 简装 | 高楼层(共4层) | 板楼","3人关注 "," 19天以前发布",6843,35.5
"纯南户型，三房，地铁口，急急急售","浩创悦城 - 航空港商圈","3室1厅 "," 86.76平米"," | 东南 | 毛坯 | 低楼层(共11层) | 板楼","0人关注 "," 18天以前发布",5475,47.5
"好楼层，户型好，双卫，业主诚心出售。","华南城中园 - 航空港商圈","3室2厅 "," 117.81平米"," | 西 | 毛坯 | 中楼层(共33层) | 板楼","0人关注 "," 13天以前发布",7385,87
"12年双气新小区，小区环境好，装修好","山顶御鑫城 - 北站","1室0厅 "," 55.71平米"," | 西 | 简装 | 中楼层(共29层) | 板楼","0人关注 "," 7天以前发布",9335,52
